Problem Name,Ground-truth,Number of Thread
Immutable Point class used by DelegatingVehicleTracker.,"/**
* Demonstrates creating Points in parallel threads without using ExecutorService.
*/
class Point {
public final int x, y;

public Point(int x, int y) {
this.x = x;
this.y = y;
}

@Override
public String toString() {
return ""Point{"" +
""x="" + x +
"", y="" + y +
'}';
}
}

public class Main {
public static void main(String[] args) throws InterruptedException {
Thread[] threads = new Thread[5];

for (int i = 1; i <= 5; i++) {
final int taskId = i;
threads[i - 1] = new Thread(() -> {
Point point = new Point(taskId * 10, taskId * 20);
System.out.println(""Task ID: "" + taskId + "", Generated Point: "" + point);
});
}

// Start all threads
for (Thread t : threads) {
t.start();
}

// Wait for all threads to finish
for (Thread t : threads) {
t.join();
}

System.out.println(""All tasks completed."");
}
}",6
Delegating thread safety to a ConcurrentHashMap.,"import java.util.*;
import java.awt.Point;
import java.util.concurrent.ConcurrentHashMap;
import java.util.concurrent.ConcurrentMap;
import java.util.Collections;

/**
* DelegatingVehicleTracker
* Tracks vehicle locations using a thread-safe ConcurrentHashMap.
* Modified to use explicit Threads for JPF compatibility.
*/
public class DelegatingVehicleTracker {
private final ConcurrentMap<String, Point> locations;
private final Map<String, Point> unmodifiableMap;

public DelegatingVehicleTracker(Map<String, Point> points) {
locations = new ConcurrentHashMap<>(points);
unmodifiableMap = Collections.unmodifiableMap(locations);
}

public Map<String, Point> getLocations() {
return unmodifiableMap;
}

public Point getLocation(String id) {
return locations.get(id);
}

public void setLocation(String id, int x, int y) {
if (locations.replace(id, new Point(x, y)) == null)
throw new IllegalArgumentException(""Invalid vehicle ID: "" + id);
}

public Map<String, Point> getLocationsAsStatic() {
return Collections.unmodifiableMap(new HashMap<>(locations));
}

public static void main(String[] args) throws InterruptedException {
Map<String, Point> initialLocations = new HashMap<>();
initialLocations.put(""V1"", new Point(0, 0));
initialLocations.put(""V2"", new Point(10, 10));
initialLocations.put(""V3"", new Point(20, 20));

DelegatingVehicleTracker tracker = new DelegatingVehicleTracker(initialLocations);

// Reduce thread count and iterations to shorten JPF testing time
Thread[] threads = new Thread[2]; // fewer threads

for (int i = 0; i < 2; i++) {
final int threadId = i;
threads[i] = new Thread(() -> {
Random rand = new Random();
for (int j = 0; j < 3; j++) { // fewer iterations
String vehicleId = ""V"" + ((threadId % 3) + 1);
int newX = rand.nextInt(21); // 0 to 20
int newY = rand.nextInt(21); // 0 to 20
System.out.println(""Thread-"" + threadId + "": Setting "" + vehicleId + "" to ("" + newX + "", "" + newY + "")"");
tracker.setLocation(vehicleId, newX, newY);
try {
Thread.sleep(20); // shorter sleep to speed up execution
} catch (InterruptedException e) {
Thread.currentThread().interrupt();
}
}
});
}

for (Thread t : threads) {
t.start();
}

for (Thread t : threads) {
t.join();
}

System.out.println(""\nFinal vehicle locations:"");
for (Map.Entry<String, Point> entry : tracker.getLocations().entrySet()) {
System.out.println(entry.getKey() + "" => "" + entry.getValue());
}
}
}",6
Returning a static copy of the location set instead of a 'live' one.,"import java.awt.Point;
import java.util.*;
import java.util.concurrent.*;

/**
* DelegatingVehicleTracker
* Delegates thread safety to a ConcurrentHashMap.
*/
public class DelegatingVehicleTracker {

private final ConcurrentMap<String, Point> locations;
private final Map<String, Point> unmodifiableMap;

public DelegatingVehicleTracker(Map<String, Point> points) {
locations = new ConcurrentHashMap<>(points);
unmodifiableMap = Collections.unmodifiableMap(locations);
}

public Map<String, Point> getLocations() {
return unmodifiableMap;
}


public void setLocation(String id, int x, int y) {
if (locations.replace(id, new Point(x, y)) == null)
throw new IllegalArgumentException(""Invalid vehicle name: "" + id);
}


public static void main(String[] args) throws InterruptedException {
Map<String, Point> initialVehicles = new HashMap<>();
initialVehicles.put(""V1"", new Point(0, 0));
initialVehicles.put(""V2"", new Point(0, 0));
initialVehicles.put(""V3"", new Point(0, 0));

DelegatingVehicleTracker tracker = new DelegatingVehicleTracker(initialVehicles);

// Reduce threads to 2 for JPF-friendly execution
Thread[] threads = new Thread[2];

for (int i = 0; i < 2; i++) {
final String vehicleId = ""V"" + ((i % 3) + 1);
threads[i] = new Thread(() -> {
try {
// Reduce iterations to 2 per thread
for (int j = 0; j < 2; j++) {
// Use deterministic fixed values instead of random
int x = j * 10 + 5;
int y = j * 20 + 5;
tracker.setLocation(vehicleId, x, y);
System.out.println(Thread.currentThread().getName() +
"" updated "" + vehicleId + "" to ("" + x + "", "" + y + "")"");
Thread.sleep(10);
}
} catch (InterruptedException e) {
Thread.currentThread().interrupt();
}
});
}

for (Thread t : threads) {
t.start();
}
for (Thread t : threads) {
t.join();
}

System.out.println(""\nFinal vehicle locations:"");
tracker.getLocations().forEach((id, point) ->
System.out.println(id + "": ("" + point.x + "", "" + point.y + "")""));
}
}",3
Vehicle tracker that safely publishes underlying state.,"import java.util.*;
import java.util.concurrent.*;

public class PublishingVehicleTracker {
private final Map<String, SafePoint> locations;
private final Map<String, SafePoint> unmodifiableMap;

public PublishingVehicleTracker(Map<String, SafePoint> locations) {
this.locations = new ConcurrentHashMap<>(locations);
this.unmodifiableMap = Collections.unmodifiableMap(this.locations);
}

public Map<String, SafePoint> getLocations() {
return unmodifiableMap;
}

public SafePoint getLocation(String id) {
return locations.get(id);
}

public void setLocation(String id, int x, int y) {
if (!locations.containsKey(id))
throw new IllegalArgumentException(""invalid vehicle name: "" + id);
locations.get(id).set(x, y);
}

public static void main(String[] args) throws InterruptedException {
Map<String, SafePoint> initialPoints = new HashMap<>();
initialPoints.put(""V1"", new SafePoint(0, 0));
initialPoints.put(""V2"", new SafePoint(10, 10));
initialPoints.put(""V3"", new SafePoint(20, 20));

PublishingVehicleTracker tracker = new PublishingVehicleTracker(initialPoints);

Thread[] threads = new Thread[2]; // fewer threads for faster JPF testing

for (int i = 0; i < 2; i++) {
final int taskId = i;
threads[i] = new Thread(() -> {
Random rand = new Random();
for (int j = 0; j < 3; j++) { // fewer iterations
String vehicleId = ""V"" + ((taskId % 3) + 1);
int newX = rand.nextInt(6); // 0 to 5
int newY = rand.nextInt(6); // 0 to 5
tracker.setLocation(vehicleId, newX, newY);
System.out.println(Thread.currentThread().getName() +
"" updated "" + vehicleId + "" to ("" + newX + "", "" + newY + "")"");
try {
Thread.sleep(20); // shorter sleep
} catch (InterruptedException e) {
Thread.currentThread().interrupt();
}
}
});
}

for (Thread t : threads) {
t.start();
}

for (Thread t : threads) {
t.join();
}

System.out.println(""\nFinal vehicle locations:"");
tracker.getLocations().forEach((id, point) ->
System.out.println(id + "": ("" + point.getX() + "", "" + point.getY() + "")""));
}
}

class SafePoint {
private int x, y;

public SafePoint(int x, int y) {
this.x = x;
this.y = y;
}

public SafePoint(SafePoint point) {
this(point.getX(), point.getY());
}

public synchronized int getX() {
return x;
}

public synchronized int getY() {
return y;
}

public synchronized void set(int x, int y) {
this.x = x;
this.y = y;
}
}",3
Implementing put-if-absent using composition.,"import java.util.*;
import java.util.concurrent.*;

/**
* ImprovedList
*
* Implementing putIfAbsent using composition and synchronization
*/
public class ImprovedList<T> implements List<T> {
private final List<T> list;

/**
* PRE: list argument is thread-safe.
*/
public ImprovedList(List<T> list) {
this.list = list;
}

public synchronized boolean putIfAbsent(T x) {
boolean contains = list.contains(x);
if (!contains)
list.add(x);
return !contains;
}

// Plain vanilla delegation for List methods.
// Mutative methods must be synchronized to ensure atomicity of putIfAbsent.

public int size() {
return list.size();
}

public boolean isEmpty() {
return list.isEmpty();
}

public boolean contains(Object o) {
return list.contains(o);
}

public Iterator<T> iterator() {
return list.iterator();
}

public Object[] toArray() {
return list.toArray();
}

public <E> E[] toArray(E[] a) {
return list.toArray(a);
}

public synchronized boolean add(T e) {
return list.add(e);
}

public synchronized boolean remove(Object o) {
return list.remove(o);
}

public boolean containsAll(Collection<?> c) {
return list.containsAll(c);
}

public synchronized boolean addAll(Collection<? extends T> c) {
return list.addAll(c);
}

public synchronized boolean addAll(int index, Collection<? extends T> c) {
return list.addAll(index, c);
}

public synchronized boolean removeAll(Collection<?> c) {
return list.removeAll(c);
}

public synchronized boolean retainAll(Collection<?> c) {
return list.retainAll(c);
}

public boolean equals(Object o) {
return list.equals(o);
}

public int hashCode() {
return list.hashCode();
}

public T get(int index) {
return list.get(index);
}

public synchronized T set(int index, T element) {
return list.set(index, element);
}

public synchronized void add(int index, T element) {
list.add(index, element);
}

public synchronized T remove(int index) {
return list.remove(index);
}

public int indexOf(Object o) {
return list.indexOf(o);
}

public int lastIndexOf(Object o) {
return list.lastIndexOf(o);
}

public ListIterator<T> listIterator() {
return list.listIterator();
}

public ListIterator<T> listIterator(int index) {
return list.listIterator(index);
}

public List<T> subList(int fromIndex, int toIndex) {
return list.subList(fromIndex, toIndex);
}

public synchronized void clear() {
list.clear();
}

@Override
public String toString() {
return list.toString();
}

// === MAIN METHOD FOR TESTING CONCURRENCY ===

public static void main(String[] args) throws InterruptedException, ExecutionException {
List<String> syncList = Collections.synchronizedList(new ArrayList<>());
ImprovedList<String> improvedList = new ImprovedList<>(syncList);

int threadCount = 2;
ExecutorService executor = Executors.newFixedThreadPool(threadCount);

List<Callable<Void>> tasks = new ArrayList<>();
for (int i = 0; i < threadCount; i++) {
final String element = ""Item"";
tasks.add(() -> {
boolean added = improvedList.putIfAbsent(element);
System.out.println(Thread.currentThread().getName() + "" putIfAbsent result: "" + added);
return null;
});
}

List<Future<Void>> futures = executor.invokeAll(tasks);
for (Future<Void> future : futures) {
future.get();
}

executor.shutdown();

System.out.println(""Final list size: "" + improvedList.size());
System.out.println(""Final list contents: "" + improvedList);
}
}",3
Using CountDownLatch for starting and stopping threads in timing tests.,"import java.util.concurrent.*;

/**
* TestHarness
*
* Using CountDownLatch to control the start and stop of threads in timing tests.
*
* @author Brian Goetz and Tim Peierls
*/
public class TestHarness {
public long timeTasks(int nThreads, final Runnable task) throws InterruptedException {
final CountDownLatch startGate = new CountDownLatch(1);
final CountDownLatch endGate = new CountDownLatch(nThreads);

for (int i = 0; i < nThreads; i++) {
Thread t = new Thread(() -> {
try {
startGate.await();
try {
task.run();
} finally {
endGate.countDown();
}
} catch (InterruptedException e) {
Thread.currentThread().interrupt();
}
});
t.start();
}

long start = System.nanoTime();
startGate.countDown(); // Allow all threads to start running
endGate.await(); // Wait for all threads to finish
long end = System.nanoTime();
return end - start;
}

public static void main(String[] args) throws InterruptedException {
TestHarness harness = new TestHarness();

// Define a simple task: sleep for a while
Runnable task = () -> {
try {
System.out.println(Thread.currentThread().getName() + "" is running."");
Thread.sleep(1000); // Simulate a time-consuming operation
} catch (InterruptedException e) {
Thread.currentThread().interrupt();
}
};

int nThreads = 2; // Run with 2 threads
long duration = harness.timeTasks(nThreads, task);

System.out.printf(""All %d tasks completed in %.3f seconds.%n"",
nThreads, duration / 1_00.0);
}
}",2
Using FutureTask to preload data that is needed later.,"import java.util.concurrent.*;

/**
* Preloader
*
* Using FutureTask to preload data that is needed later
*
* @author Brian Goetz and Tim Peierls
*/
public class Preloader {
// Simulate product information loading
ProductInfo loadProductInfo() throws DataLoadException {
try {
Thread.sleep(2000); // Simulate loading delay
} catch (InterruptedException e) {
Thread.currentThread().interrupt();
throw new DataLoadException();
}
return new ProductInfoImpl(""Awesome Product"", 99.99);
}

private final FutureTask<ProductInfo> future =
new FutureTask<>(new Callable<ProductInfo>() {
public ProductInfo call() throws DataLoadException {
return loadProductInfo();
}
});
private final Thread thread = new Thread(future);

public void start() {
thread.start();
}

public ProductInfo get() throws DataLoadException, InterruptedException {
try {
return future.get();
} catch (ExecutionException e) {
Throwable cause = e.getCause();
if (cause instanceof DataLoadException)
throw (DataLoadException) cause;
else
throw LaunderThrowable.launderThrowable(cause);
}
}

interface ProductInfo {
String getName();
double getPrice();
}

static class ProductInfoImpl implements ProductInfo {
private final String name;
private final double price;

public ProductInfoImpl(String name, double price) {
this.name = name;
this.price = price;
}

public String getName() {
return name;
}

public double getPrice() {
return price;
}

@Override
public String toString() {
return ""ProductInfo{name='"" + name + ""', price="" + price + ""}"";
}
}

// Utility class: for throwing unchecked exceptions
static class LaunderThrowable {
static RuntimeException launderThrowable(Throwable t) {
if (t instanceof RuntimeException)
return (RuntimeException) t;
else if (t instanceof Error)
throw (Error) t;
else
throw new IllegalStateException(""Not unchecked"", t);
}
}

// Main entry point
public static void main(String[] args) {
System.out.println(""Starting preloader..."");
Preloader preloader = new Preloader();
preloader.start();

try {
System.out.println(""Doing something else in the main thread..."");
Thread.sleep(1000);

System.out.println(""Waiting for product info..."");
ProductInfo productInfo = preloader.get();
System.out.println(""Loaded product: "" + productInfo);
} catch (DataLoadException | InterruptedException e) {
e.printStackTrace();
}
}
}

class DataLoadException extends Exception {
public DataLoadException() {
super(""Failed to load product data."");
}
}",2
Using a volatile field to hold cancellation state.,"import java.math.BigInteger;
import java.util.*;

public class PrimeGenerator implements Runnable {
private final List<BigInteger> primes = new ArrayList<>();
private volatile boolean cancelled = false;
private final int maxPrimes;

public PrimeGenerator(int maxPrimes) {
this.maxPrimes = maxPrimes;
}

public void run() {
BigInteger p = BigInteger.ONE;
while (!cancelled && primes.size() < maxPrimes) {
p = p.nextProbablePrime();
synchronized (this) {
primes.add(p);
}
// Optional: remove sleep to speed up, or keep a very short sleep
try {
Thread.sleep(1);
} catch (InterruptedException e) {
Thread.currentThread().interrupt();
break;
}
}
}

public void cancel() {
cancelled = true;
}

public synchronized List<BigInteger> get() {
return new ArrayList<>(primes);
}

public static List<BigInteger> generatePrimes(int count) throws InterruptedException {
PrimeGenerator generator = new PrimeGenerator(count);
Thread thread = new Thread(generator);
thread.start();
thread.join(); // Wait until generator finishes generating count primes
return generator.get();
}

public static void main(String[] args) {
try {
int primeCount = 10; // Generate 10 primes
List<BigInteger> primes = generatePrimes(primeCount);

System.out.println(""Generated "" + primes.size() + "" primes."");

int limit = Math.min(10, primes.size());
System.out.println(""First "" + limit + "" primes:"");
for (int i = 0; i < limit; i++) {
System.out.println(primes.get(i));
}
} catch (InterruptedException e) {
System.err.println(""Interrupted during prime generation: "" + e.getMessage());
Thread.currentThread().interrupt();
}
}
}",2
Generating a second's worth of prime numbers.,"import java.math.BigInteger;
import java.util.ArrayList;
import java.util.Collections;
import java.util.List;

public class LLMC implements Runnable {

private final List<BigInteger> primes = Collections.synchronizedList(new ArrayList<>());
private volatile boolean cancelled;
private final int maxPrimes; 

public LLMC(int maxPrimes) {
this.maxPrimes = maxPrimes;
}

@Override
public void run() {
BigInteger p = BigInteger.ONE;
while (!cancelled && primes.size() < maxPrimes) {
p = p.nextProbablePrime();
primes.add(p);

try {
Thread.sleep(10);
} catch (InterruptedException e) {
Thread.currentThread().interrupt();
break;
}
}
}

public void cancel() {
cancelled = true;
}

public List<BigInteger> getPrimes() {
synchronized (primes) {
return new ArrayList<>(primes);
}
}

public static List<BigInteger> limitedPrimes() throws InterruptedException {
LLMC generator = new LLMC(10);
Thread thread = new Thread(generator);
thread.start();

Thread.sleep(1000);
generator.cancel();

thread.join();

return generator.getPrimes();
}

public static void main(String[] args) {
try {
List<BigInteger> primes = limitedPrimes();
System.out.println(""Generated "" + primes.size() + "" primes in 1 second:"");
for (BigInteger prime : primes) {
System.out.println(prime);
}
} catch (InterruptedException e) {
Thread.currentThread().interrupt();
System.err.println(""Prime generation was interrupted."");
}
}
}",2
Using interruption for cancellation.,"import java.math.BigInteger;
import java.util.concurrent.BlockingQueue;
import java.util.concurrent.LinkedBlockingQueue;

public class PrimeProducer extends Thread {
private final BlockingQueue<BigInteger> queue;
private final int maxPrimesToGenerate;

public PrimeProducer(BlockingQueue<BigInteger> queue, int maxPrimesToGenerate) {
this.queue = queue;
this.maxPrimesToGenerate = maxPrimesToGenerate;
}

@Override
public void run() {
try {
BigInteger p = BigInteger.ONE;
int count = 0;
while (!Thread.currentThread().isInterrupted() && count < maxPrimesToGenerate) {
p = p.nextProbablePrime();
queue.put(p);
count++;
}
} catch (InterruptedException e) {
Thread.currentThread().interrupt();
}
}

public void cancel() {
interrupt();
}

public static void main(String[] args) throws InterruptedException {
BlockingQueue<BigInteger> queue = new LinkedBlockingQueue<>();
final int primesToProduce = 2;

PrimeProducer producer = new PrimeProducer(queue, primesToProduce);
producer.start();

Thread consumer = new Thread(() -> {
int count = 0;
try {
while (count < primesToProduce) {
BigInteger prime = queue.take();
System.out.println(""Consumed: "" + prime);
count++;
}
} catch (InterruptedException e) {
Thread.currentThread().interrupt();
System.out.println(""Consumer was interrupted."");
}
});

consumer.start();
consumer.join();

producer.cancel();
producer.join();

System.out.println(""All tasks completed."");
}
}",3
Waiting for results to be calculated in parallel.,"import java.util.*;
import java.util.concurrent.*;

public abstract class LLMC {

void processSequentially(List<Element> elements) {
for (Element e : elements)
process(e);
}

void processInParallel(Executor exec, List<Element> elements) {
CountDownLatch latch = new CountDownLatch(elements.size());
for (final Element e : elements) {
exec.execute(() -> {
process(e);
latch.countDown();
});
}
try {
latch.await();
} catch (InterruptedException ie) {
Thread.currentThread().interrupt();
}
}

public abstract void process(Element e);

public <T> void sequentialRecursive(List<Node<T>> nodes, Collection<T> results) {
for (Node<T> n : nodes) {
results.add(n.compute());
sequentialRecursive(n.getChildren(), results);
}
}

public <T> Collection<T> parallelRecursive(List<Node<T>> nodes) throws InterruptedException {
Collection<T> results = Collections.synchronizedList(new ArrayList<>());
CountDownLatch latch = new CountDownLatch(nodes.size());

Thread worker = new Thread(() -> {
for (Node<T> n : nodes) {
T result = n.compute();
results.add(result);
sequentialRecursive(n.getChildren(), results);
latch.countDown();
}
});

worker.start();
latch.await();

return results;
}

interface Element {}
interface Node<T> { T compute(); List<Node<T>> getChildren(); }

static class MyElement implements Element {
private final String name;
public MyElement(String name) { this.name = name; }
public String toString() { return ""Element: "" + name; }
}

static class MyNode implements Node<String> {
private final String name;
private final List<Node<String>> children;
public MyNode(String name, List<Node<String>> children) {
this.name = name;
this.children = children != null ? children : Collections.emptyList();
}
public String compute() {
return name;
}
public List<Node<String>> getChildren() { return children; }
}

public static void main(String[] args) throws InterruptedException {
LLMC instance = new LLMC() {
public void process(Element e) {
// Minimal processing
}
};

List<Element> elements = Arrays.asList(new MyElement(""A""));

instance.processSequentially(elements);

Thread executor = new Thread(() -> {
instance.processInParallel(Runnable::run, elements);
});
executor.start();
executor.join();

Node<String> leaf = new MyNode(""Leaf"", null);
Node<String> root = new MyNode(""Root"", Arrays.asList(leaf));
List<Node<String>> tree = Arrays.asList(root);

Collection<String> sequentialResults = new ArrayList<>();
instance.sequentialRecursive(tree, sequentialResults);

Collection<String> parallelResults = instance.parallelRecursive(tree);
System.out.println(parallelResults);
}
}",2
Inducing a lock ordering to avoid deadlock.,"import java.math.BigDecimal;
import java.util.concurrent.ExecutorService;
import java.util.concurrent.Executors;

public class LLMC {
private static final Object tieLock = new Object();

public void transferMoney(final Account fromAcct,
final Account toAcct,
final DollarAmount amount)
throws InsufficientFundsException {
class Helper {
public void transfer() throws InsufficientFundsException {
if (fromAcct.getBalance().compareTo(amount) < 0)
throw new InsufficientFundsException();
else {
fromAcct.debit(amount);
toAcct.credit(amount);
}
}
}

int fromHash = System.identityHashCode(fromAcct);
int toHash = System.identityHashCode(toAcct);

if (fromHash < toHash) {
synchronized (fromAcct) {
synchronized (toAcct) {
new Helper().transfer();
}
}
} else if (fromHash > toHash) {
synchronized (toAcct) {
synchronized (fromAcct) {
new Helper().transfer();
}
}
} else {
synchronized (tieLock) {
synchronized (fromAcct) {
synchronized (toAcct) {
new Helper().transfer();
}
}
}
}
}

public static class DollarAmount implements Comparable<DollarAmount> {
private final BigDecimal value;

public DollarAmount(BigDecimal value) {
this.value = value;
}

public DollarAmount add(DollarAmount other) {
return new DollarAmount(this.value.add(other.value));
}

public DollarAmount subtract(DollarAmount other) {
return new DollarAmount(this.value.subtract(other.value));
}

@Override
public int compareTo(DollarAmount other) {
return this.value.compareTo(other.value);
}

@Override
public String toString() {
return value.toString();
}
}

public interface Account {
void debit(DollarAmount d);

void credit(DollarAmount d);

DollarAmount getBalance();

int getAcctNo();
}

public static class AccountImpl implements Account {
private DollarAmount balance;
private final int acctNo;

public AccountImpl(int acctNo, DollarAmount initialBalance) {
this.acctNo = acctNo;
this.balance = initialBalance;
}

@Override
public synchronized void debit(DollarAmount d) {
balance = balance.subtract(d);
}

@Override
public synchronized void credit(DollarAmount d) {
balance = balance.add(d);
}

@Override
public synchronized DollarAmount getBalance() {
return balance;
}

@Override
public int getAcctNo() {
return acctNo;
}
}

static class InsufficientFundsException extends Exception {
public InsufficientFundsException() {
super(""Insufficient funds in account."");
}
}

public static void main(String[] args) throws InterruptedException {
LLMC service = new LLMC();

Account a1 = new AccountImpl(1, new DollarAmount(new BigDecimal(""1000.00"")));
Account a2 = new AccountImpl(2, new DollarAmount(new BigDecimal(""1000.00"")));

Runnable task = () -> {
try {
// Reduced iterations to 2 for faster completion
for (int i = 0; i < 2; i++) {
service.transferMoney(a1, a2, new DollarAmount(new BigDecimal(""1.00"")));
service.transferMoney(a2, a1, new DollarAmount(new BigDecimal(""1.00"")));
}
} catch (InsufficientFundsException e) {
e.printStackTrace();
}
};

// Reduced thread pool size to 2 to reduce thread overhead
ExecutorService executor = Executors.newFixedThreadPool(2);
// Reduced number of tasks to 2
for (int i = 0; i < 2; i++) {
executor.submit(task);
}

executor.shutdown();
while (!executor.isTerminated()) {
Thread.sleep(10);
}

System.out.println(""Final balance of Account 1: "" + ((AccountImpl) a1).getBalance());
System.out.println(""Final balance of Account 2: "" + ((AccountImpl) a2).getBalance());
}
}",3
Candidate for lock elision.,"import java.util.*;
import java.util.concurrent.ExecutorService;
import java.util.concurrent.Executors;

public final class ThreeStooges {
private static final List<String> STOOGES =
Collections.unmodifiableList(Arrays.asList(""Moe"", ""Larry"", ""Curly""));
private static final Set<String> STOOGES_SET = new HashSet<>(STOOGES);

public boolean isStooge(String name) {
return STOOGES_SET.contains(name);
}

public String getStoogeNames() {
return STOOGES.toString();
}

public static void main(String[] args) {
final ThreeStooges stooges = new ThreeStooges();

ExecutorService executor = Executors.newFixedThreadPool(2);

String[] namesToCheck = {""Moe"", ""Shemp"", ""Larry"", ""Curly"", ""John"", ""Curly"", ""Moe""};

for (int i = 0; i < namesToCheck.length; i++) {
final int taskId = i;
final String name = namesToCheck[i];
executor.submit(new StoogeCheckerTask(stooges, name, taskId));
}

executor.shutdown();
}
}

class StoogeCheckerTask implements Runnable {
private final ThreeStooges stooges;
private final String name;
private final int taskId;

public StoogeCheckerTask(ThreeStooges stooges, String name, int taskId) {
this.stooges = stooges;
this.name = name;
this.taskId = taskId;
}

@Override
public void run() {
System.out.println(""Task ID: "" + taskId + "" - Checking name: "" + name);
boolean result = stooges.isStooge(name);
System.out.println(""Task ID: "" + taskId + "" - Is '"" + name + ""' a stooge? "" + result);
}
}",6
Hash-based map using lock striping.,"public class StripedMapJPF {
private static final int N_LOCKS = 4;
private final Node[] buckets;
private final Object[] locks;

private static class Node {
final Object key;
Object value;
Node next;

Node(Object key, Object value, Node next) {
this.key = key;
this.value = value;
this.next = next;
}
}

public StripedMapJPF(int numBuckets) {
buckets = new Node[numBuckets];
locks = new Object[N_LOCKS];
for (int i = 0; i < N_LOCKS; i++) locks[i] = new Object();
}

private int hash(Object key) {
int h = key == null ? 0 : key.hashCode();
return (h & 0x7fffffff) % buckets.length;
}

public Object get(Object key) {
int h = hash(key);
Object lock = locks[h % N_LOCKS];
synchronized (lock) {
Node node = buckets[h];
while (node != null) {
if (node.key == null ? key == null : node.key.equals(key))
return node.value;
node = node.next;
}
return null;
}
}

public void put(Object key, Object value) {
int h = hash(key);
Object lock = locks[h % N_LOCKS];
synchronized (lock) {
Node head = buckets[h];
for (Node node = head; node != null; node = node.next) {
if (node.key == null ? key == null : node.key.equals(key)) {
node.value = value;
return;
}
}
buckets[h] = new Node(key, value, head);
}
}

public void clear() {
for (int i = 0; i < buckets.length; i++) {
Object lock = locks[i % N_LOCKS];
synchronized (lock) {
buckets[i] = null;
}
}
}

public static void main(String[] args) throws InterruptedException {
final StripedMapJPF map = new StripedMapJPF(8);

Thread writer1 = new Thread(() -> {
for (int i = 0; i < 2; i++) map.put(""k"" + i, i);
});

Thread writer2 = new Thread(() -> {
for (int i = 1; i < 2; i++) map.put(""k"" + i, i*10);
});

Thread reader = new Thread(() -> {
for (int i = 0; i < 2; i++) map.get(""k"" + i);
});

Thread clearer = new Thread(map::clear);

writer1.start();
writer2.start();
reader.start();
clearer.start();

writer1.join();
writer2.join();
reader.join();
clearer.join();

map.get(""k0"");
map.get(""k2"");
}
}",5
Bounded buffer using Semaphore.,"import java.util.concurrent.Semaphore;

public class SemaphoreBoundedBuffer<E> {
private final Semaphore availableItems, availableSpaces;
private final E[] items;
private int putPosition = 0, takePosition = 0;

public SemaphoreBoundedBuffer(int capacity) {
if (capacity <= 0) throw new IllegalArgumentException();
availableItems = new Semaphore(0);
availableSpaces = new Semaphore(capacity);
items = (E[]) new Object[capacity];
}

public void put(E x) throws InterruptedException {
availableSpaces.acquire();
synchronized (this) {
items[putPosition] = x;
putPosition = (putPosition + 1) % items.length;
}
availableItems.release();
}

public E take() throws InterruptedException {
availableItems.acquire();
E item;
synchronized (this) {
item = items[takePosition];
items[takePosition] = null;
takePosition = (takePosition + 1) % items.length;
}
availableSpaces.release();
return item;
}

public static void main(String[] args) {
final int bufferSize = 2;
final int numItems = 2;

SemaphoreBoundedBuffer<Integer> buffer = new SemaphoreBoundedBuffer<>(bufferSize);

Thread producer = new Thread(() -> {
try {
for (int i = 0; i < numItems; i++) {
buffer.put(i);
// Avoid printing to reduce state space
}
} catch (InterruptedException e) {
Thread.currentThread().interrupt();
}
});

Thread consumer = new Thread(() -> {
try {
for (int i = 0; i < numItems; i++) {
Integer item = buffer.take();
// Avoid printing to reduce state space
}
} catch (InterruptedException e) {
Thread.currentThread().interrupt();
}
});

producer.start();
consumer.start();

try {
producer.join();
consumer.join();
} catch (InterruptedException e) {
Thread.currentThread().interrupt();
}

// Minimal output
System.out.println(""Done."");
}
}",3
