Topic,Prompt
Immutable Point class used by DelegatingVehicleTracker.,"Please write a concurrent program in Java 8 that implements the following functionality: Create an immutable class named Point that represents a coordinate in a two-dimensional space. The class should have two public final fields, x and y, both of type int, to store the coordinates. The class should include a constructor that takes two integer parameters to initialize the x and y values. Ensure that no methods are added that could modify the state of the object after creation. The requirements are as follows:

All classes and methods must be defined within a single .java file;
The program must include a public static void main(String[] args) method as the entry point;
No external libraries or dependencies should be used;
The code should be clear, well-structured, and follow Java 8 syntax standards;
If multiple classes are needed, they should all be placed in the same file, with non-public classes defined using the class keyword. 
The implementation must use multithreading to perform tasks concurrently. You may use Thread, Runnable, or ExecutorService from the standard Java library to achieve this. Ensure that thread safety is considered where necessary. 
Write Java 8 code only. Output a single complete code block using ```java```. Do not include any explanations, comments, or extra text. Only output the code, nothing else.
The total number of threads used in the program, including the main thread, must not exceed 6. Use a fixed thread pool or manually manage at most 5 additional threads beyond the main thread. Avoid unbounded thread creation or cached thread pools. 
Do not add any annotations."
Delegating thread safety to a ConcurrentHashMap.,"Please write a concurrent program in Java 8 that implements the following functionality: Create a Java class called DelegatingVehicleTracker that manages the locations of vehicles in a thread-safe manner. The class should use a ConcurrentHashMap to store vehicle locations, where each vehicle is identified by a unique String ID and its current location is represented by a Point object. Provide the following functionality:

A constructor that accepts an initial Map of vehicle IDs to Points and initializes the internal concurrent map with these values.
A method getLocations() that returns an unmodifiable view of the current vehicle locations to prevent external modification.
A method getLocation(String id) that returns the current location of the specified vehicle or null if the vehicle does not exist.
A method setLocation(String id, int x, int y) that updates the location of an existing vehicle with the given ID to the new coordinates (x, y). If the vehicle does not exist, this method should throw an appropriate exception such as IllegalArgumentException.
An alternative method getLocationsAsStatic() that returns a snapshot of the current locations as an unmodifiable Map to provide a consistent view of all locations at the time of invocation.
Ensure that all operations are thread-safe without requiring additional synchronization in the class. Use standard Java libraries for concurrency and collections. The requirements are as follows:

All classes and methods must be defined within a single .java file;
The program must include a public static void main(String[] args) method as the entry point;
No external libraries or dependencies should be used;
The code should be clear, well-structured, and follow Java 8 syntax standards;
If multiple classes are needed, they should all be placed in the same file, with non-public classes defined using the class keyword. 
The implementation must use multithreading to perform tasks concurrently. You may use Thread, Runnable, or ExecutorService from the standard Java library to achieve this. Ensure that thread safety is considered where necessary. 
Write Java 8 code only. Output a single complete code block using ```java```. Do not include any explanations, comments, or extra text. Only output the code, nothing else.
The total number of threads used in the program, including the main thread, must not exceed 6. Use a fixed thread pool or manually manage at most 5 additional threads beyond the main thread. Avoid unbounded thread creation or cached thread pools. 
Do not add any annotations."
Returning a static copy of the location set instead of a 'live' one.,"Please write a concurrent program in Java 8 that implements the following functionality: Create a Java class called DelegatingVehicleTracker that manages the locations of vehicles in a thread-safe manner using a ConcurrentHashMap. The class should provide methods to get the location of a specific vehicle, set the location of a vehicle, and return an unmodifiable view of all vehicle locations. Use delegation to ensure thread safety without explicitly synchronizing methods. Initialize the tracker with a map of vehicle IDs to their initial locations. Include two versions of the method to retrieve all locations: one that returns a live unmodifiable map backed by the original data, and another that returns a static snapshot of the current state as an unmodifiable map. Ensure that updating a vehicle's location only succeeds if the vehicle ID already exists in the map. The requirements are as follows:

All classes and methods must be defined within a single .java file;
The program must include a public static void main(String[] args) method as the entry point;
No external libraries or dependencies should be used;
The code should be clear, well-structured, and follow Java 8 syntax standards;
If multiple classes are needed, they should all be placed in the same file, with non-public classes defined using the class keyword. 
The implementation must use multithreading to perform tasks concurrently. You may use Thread, Runnable, or ExecutorService from the standard Java library to achieve this. Ensure that thread safety is considered where necessary. 
The total number of threads used in the program, including the main thread, must not exceed 3. Use a fixed thread pool or manually manage at most 2 additional threads beyond the main thread. Avoid unbounded thread creation or cached thread pools. 
Do not add any annotations."
Vehicle tracker that safely publishes underlying state.,"Please write a concurrent program in Java 8 that implements the following functionality: Create a Java class called PublishingVehicleTracker that manages the locations of vehicles in a thread-safe manner. The class should allow safe publication of its internal state to prevent unintended modifications from external code. Use a thread-safe map implementation to store vehicle locations, where each entry maps a vehicle ID (String) to a SafePoint object that represents its current coordinates. Provide an unmodifiable view of the full location map for external access. Include methods to retrieve the full map of vehicle locations, get the location of a specific vehicle by ID, and update the location of a vehicle by setting its x and y coordinates. Ensure that attempting to update a non-existent vehicle throws an appropriate exception. The design should follow best practices for encapsulation and thread safety. The requirements are as follows:

All classes and methods must be defined within a single .java file;
The program must include a public static void main(String[] args) method as the entry point;
No external libraries or dependencies should be used;
The code should be clear, well-structured, and follow Java 8 syntax standards;
If multiple classes are needed, they should all be placed in the same file, with non-public classes defined using the class keyword. 
The implementation must use multithreading to perform tasks concurrently. You may use Thread, Runnable, or ExecutorService from the standard Java library to achieve this. Ensure that thread safety is considered where necessary. 
Write Java 8 code only. Output a single complete code block using ```java```. Do not include any explanations, comments, or extra text. Only output the code, nothing else.
The total number of threads used in the program, including the main thread, must not exceed 3. Use a fixed thread pool or manually manage at most 2 additional threads beyond the main thread. Avoid unbounded thread creation or cached thread pools. 
Do not add any annotations."
Implementing put-if-absent using composition.,"Please write a concurrent program in Java 8 that implements the following functionality: Create a Java class named ImproveList that implements the List interface and enhances it by providing a thread-safe putIfAbsent method. The class should wrap an existing List instance, which is provided via the constructor. All methods of the List interface should delegate to the underlying list. Ensure that all mutative operations (e.g., add, remove, addAll, etc.) are synchronized to maintain atomicity, especially for the putIfAbsent method. The putIfAbsent method should check if the specified element is already present in the list; if not, it should add the element and return true, otherwise return false. Make sure the class is properly documented and follows good design practices. The requirements are as follows:

All classes and methods must be defined within a single .java file;
The program must include a public static void main(String[] args) method as the entry point;
No external libraries or dependencies should be used;
The code should be clear, well-structured, and follow Java 8 syntax standards;
If multiple classes are needed, they should all be placed in the same file, with non-public classes defined using the class keyword. 
The implementation must use multithreading to perform tasks concurrently. You may use Thread, Runnable, or ExecutorService from the standard Java library to achieve this. Ensure that thread safety is considered where necessary. 
Write Java 8 code only. Output a single complete code block using ```java```. Do not include any explanations, comments, or extra text. Only output the code, nothing else. 
The total number of threads used in the program, including the main thread, must not exceed 3. Use a fixed thread pool or manually manage at most 2 additional threads beyond the main thread. Avoid unbounded thread creation or cached thread pools. 
Do not add any annotations."
Using CountDownLatch for starting and stopping threads in timing tests.,"Please write a concurrent program in Java 8 that implements the following functionality: The Java 8 multi-threading performance testing tool utilizes CountDownLatch for thread synchronization and execution timing. The core method timeTasks accepts the number of threads and a task logic, employing two CountDownLatch instances (a ""start gate"" for synchronized thread initiation and an ""end gate"" for completion waiting) to ensure all threads begin simultaneously and the main thread waits for their completion. High-precision timing is achieved with System.nanoTime(), while manual thread creation and Lambda expressions implement the task logic. The design handles thread interruption by preserving the interrupt status and supports functional extension through arbitrary Runnable task inputs. This structure enables accurate measurement of parallel execution performance in scenarios like simulated workload testing. The requirements are as follows:

All classes and methods must be defined within a single .java file;
The program must include a public static void main(String[] args) method as the entry point;
No external libraries or dependencies should be used;
The code should be clear, well-structured, and follow Java 8 syntax standards;
If multiple classes are needed, they should all be placed in the same file, with non-public classes defined using the class keyword.
The implementation must use multithreading to perform tasks concurrently. You may use Thread, Runnable, or ExecutorService from the standard Java library to achieve this. Ensure that thread safety is considered where necessary. 
Write Java 8 code only. Output a single complete code block using ```java```. Do not include any explanations, comments, or extra text. Only output the code, nothing else. 
The total number of threads used in the program, including the main thread, must not exceed 2. Use a fixed thread pool or manually manage at most 1 additional threads beyond the main thread. Avoid unbounded thread creation or cached thread pools. 
Do not add any annotations."
Using FutureTask to preload data that is needed later.,"Please write a concurrent program in Java 8 that implements the following functionality: Write a Java class called Preloader that simulates the preloading of data using a separate thread. The class should use a FutureTask to perform the data loading asynchronously and provide two main operations: a method to start the background task and another to retrieve the result of the task when needed.

The class should include:

A method ProductInfo loadProductInfo() which simulates loading data and may throw a custom exception called DataLoadException.
A FutureTask that wraps a Callable to execute the loadProductInfo method in the background.
A dedicated Thread instance to run the FutureTask.
A start() method to begin the execution of the background task.
A get() method that returns the loaded ProductInfo and propagates any exceptions thrown during the loading process, including properly handling and rethrowing them (e.g., wrapping unexpected exceptions using a utility-like approach).
Also define:

An interface ProductInfo as a placeholder for the loaded data type.
A custom exception class DataLoadException that extends Exception.
Ensure the code is structured to be non-blocking during data loading but blocks only when retrieving the result via get(), and correctly handles error propagation from the background task. Write a Java class called Preloader that simulates the preloading of data using a separate thread. The class should use a FutureTask to perform the data loading asynchronously and provide two main operations: a method to start the background task and another to retrieve the result of the task when needed.

The class should include:

A method ProductInfo loadProductInfo() which simulates loading data and may throw a custom exception called DataLoadException.
A FutureTask that wraps a Callable to execute the loadProductInfo method in the background.
A dedicated Thread instance to run the FutureTask.
A start() method to begin the execution of the background task.
A get() method that returns the loaded ProductInfo and propagates any exceptions thrown during the loading process, including properly handling and rethrowing them (e.g., wrapping unexpected exceptions using a utility-like approach).
Also define:

An interface ProductInfo as a placeholder for the loaded data type.
A custom exception class DataLoadException that extends Exception.
Ensure the code is structured to be non-blocking during data loading but blocks only when retrieving the result via get(), and correctly handles error propagation from the background task. The requirements are as follows:

All classes and methods must be defined within a single .java file;
The program must include a public static void main(String[] args) method as the entry point;
No external libraries or dependencies should be used;
The code should be clear, well-structured, and follow Java 8 syntax standards;
If multiple classes are needed, they should all be placed in the same file, with non-public classes defined using the class keyword. 
The implementation must use multithreading to perform tasks concurrently. You may use Thread, Runnable, or ExecutorService from the standard Java library to achieve this. Ensure that thread safety is considered where necessary. 
Write Java 8 code only. Output a single complete code block using ```java```. Do not include any explanations, comments, or extra text. Only output the code, nothing else. 
The total number of threads used in the program, including the main thread, must not exceed 2. Use a fixed thread pool or manually manage at most 1 additional threads beyond the main thread. Avoid unbounded thread creation or cached thread pools. 
Do not add any annotations."
Using a volatile field to hold cancellation state.,"Please write a concurrent program in Java 8 that implements the following functionality: Write a Java program that generates prime numbers in a separate thread for a duration of one second, then cancels the generation and returns the list of found primes. Use a volatile variable to manage the cancellation state, ensure thread-safe access to the shared list of primes, and utilize an ExecutorService to run the task in a separate thread. The program should include a method to retrieve the collected prime numbers and properly cancel the computation after one second has elapsed. The requirements are as follows:

All classes and methods must be defined within a single .java file;
The program must include a public static void main(String[] args) method as the entry point;
No external libraries or dependencies should be used;
The code should be clear, well-structured, and follow Java 8 syntax standards;
If multiple classes are needed, they should all be placed in the same file, with non-public classes defined using the class keyword. 
The implementation must use multithreading to perform tasks concurrently. You may use Thread, Runnable, or ExecutorService from the standard Java library to achieve this. Ensure that thread safety is considered where necessary. 
Write Java 8 code only. Output a single complete code block using ```java```. Do not include any explanations, comments, or extra text. Only output the code, nothing else. 
The total number of threads used in the program, including the main thread, must not exceed 2. Use a fixed thread pool or manually manage at most 1 additional threads beyond the main thread. Avoid unbounded thread creation or cached thread pools. 
Do not add any annotations."
Generating a second's worth of prime numbers.,"Please write a concurrent program in Java 8 that implements the following functionality: Write a Java program that generates prime numbers in a separate thread for a duration of one second and then cancels the generation process. The program should use a volatile variable to manage the cancellation state, store the generated first 10 prime numbers in a thread-safe list, and provide a method to retrieve the collected primes. Use an ExecutorService or Thread to manage the thread execution. The PrimeGenerator class should implement Runnable, include methods to start and cancel the generation, and ensure proper synchronization when accessing shared data. The requirements are as follows:

All classes and methods must be defined within a single .java file;
The program must include a public static void main(String[] args) method as the entry point;
No external libraries or dependencies should be used;
The code should be clear, well-structured, and follow Java 8 syntax standards;
If multiple classes are needed, they should all be placed in the same file, with non-public classes defined using the class keyword. 
The implementation must use multithreading to perform tasks concurrently. You may use Thread, Runnable, or ExecutorService from the standard Java library to achieve this. Ensure that thread safety is considered where necessary. 
Write Java 8 code only. Output a single complete code block using ```java```. Do not include any explanations, comments, or extra text. Only output the code, nothing else. 
The total number of threads used in the program, including the main thread, must not exceed 2. Use a fixed thread pool or manually manage at most 1 additional threads beyond the main thread. Avoid unbounded thread creation or cached thread pools. 
Do not add any annotations."
Using interruption for cancellation.,"Please write a concurrent program in Java 8 that implements the following functionality: ""Write a Java 8 program that uses a BlockingQueue to implement a producer-consumer pattern for generating and consuming prime numbers. The program should: 

Define a PrimeProducer class that extends Thread.
The producer should generate a specified number of prime numbers using BigInteger.nextProbablePrime() and put them into the queue.
It should stop when it has produced the requested number of primes or if interrupted.
A consumer thread should read from the same queue, print each prime number as it is consumed, and stop after processing all generated primes.
The main method should start both threads, wait for the consumer to finish, then signal the producer to stop and wait for it to finish.
Use proper error handling for interruptions.
Make sure the code is thread-safe and uses Java 8 features appropriately."" 
Ensure proper handling of thread interruption to allow clean termination. The requirements are as follows:

All classes and methods must be defined within a single .java file;
The program must include a public static void main(String[] args) method as the entry point;
No external libraries or dependencies should be used;
The code should be clear, well-structured, and follow Java 8 syntax standards;
If multiple classes are needed, they should all be placed in the same file, with non-public classes defined using the class keyword. 
The implementation must use multithreading to perform tasks concurrently. You may use Thread, Runnable, or ExecutorService from the standard Java library to achieve this. Ensure that thread safety is considered where necessary. 
Write Java 8 code only. Output a single complete code block using ```java```. Do not include any explanations, comments, or extra text. Only output the code, nothing else. 
The total number of threads used in the program, including the main thread, must not exceed 3. Use a fixed thread pool or manually manage at most 2 additional threads beyond the main thread. Avoid unbounded thread creation or cached thread pools. 
Do not add any annotations."
Waiting for results to be calculated in parallel.,"Please write a concurrent program in Java 8 that implements the following functionality: Write Java code that transforms sequential execution into parallel execution using an Executor. The code should include two main processing methods: one that processes a list of elements sequentially by iterating and processing each element in turn, and another that submits each element for parallel processing via an executor. Additionally, implement recursive versions of both sequential and parallel processing methods that traverse a tree structure of nodes, computing results and collecting them in a thread-safe manner. The parallel version should properly utilize an ExecutorService to execute tasks concurrently, ensure all tasks complete before returning the final result collection, and use appropriate concurrency utilities for thread safety. Define interfaces Element and Node, where Node supports computation and retrieval of child nodes. Ensure the design follows good abstraction principles and includes proper generic typing. The requirements are as follows:

All classes and methods must be defined within a single .java file;
The program must include a public static void main(String[] args) method as the entry point;
No external libraries or dependencies should be used;
The code should be clear, well-structured, and follow Java 8 syntax standards;
If multiple classes are needed, they should all be placed in the same file, with non-public classes defined using the class keyword. 
The implementation must use multithreading to perform tasks concurrently. You may use Thread, Runnable, or ExecutorService from the standard Java library to achieve this. Ensure that thread safety is considered where necessary.
Write Java 8 code only. Output a single complete code block using ```java```. Do not include any explanations, comments, or extra text. Only output the code, nothing else. 
The total number of threads used in the program, including the main thread, must not exceed 3. Use a fixed thread pool or manually manage at most 2 additional threads beyond the main thread. Avoid unbounded thread creation or cached thread pools. 
Do not add any annotations."
Inducing a lock ordering to avoid deadlock.,"Please write a concurrent program in Java 8 that implements the following functionality: Write a Java program that performs a thread-safe money transfer between two accounts while avoiding deadlock by inducing a consistent lock ordering. The program should use the account object's identity hash code to determine the lock acquisition order. If both accounts have the same hash code, introduce a secondary tie-breaking lock to ensure consistent locking and prevent deadlock. Implement a helper class to carry out the actual transfer logic, which checks for sufficient funds before performing the debit and credit operations. Define interfaces for Account and DollarAmount, and include an exception class for insufficient funds scenarios. The requirements are as follows:

All classes and methods must be defined within a single .java file;
The program must include a public static void main(String[] args) method as the entry point;
No external libraries or dependencies should be used;
The code should be clear, well-structured, and follow Java 8 syntax standards;
If multiple classes are needed, they should all be placed in the same file, with non-public classes defined using the class keyword. 
The implementation must use multithreading to perform tasks concurrently. You may use Thread, Runnable, or ExecutorService from the standard Java library to achieve this. Ensure that thread safety is considered where necessary. 
Write Java 8 code only. Output a single complete code block using ```java```. Do not include any explanations, comments, or extra text. Only output the code, nothing else. 
The total number of threads used in the program, including the main thread, must not exceed 3. Use a fixed thread pool or manually manage at most 2 additional threads beyond the main thread. Avoid unbounded thread creation or cached thread pools. 
Do not add any annotations."
Candidate for lock elision.,"Please write a concurrent program in Java 8 that implements the following functionality: Create a Java class named ThreeStooges that represents an immutable collection of the names of the Three Stooges: ""Moe"", ""Larry"", and ""Curly"". The class should provide two methods:

A method isStooge(String name) that returns true if the given name is one of the Three Stooges, and false otherwise.
A method getStoogeNames() that returns a string representation of a list containing the names of the Three Stooges in the order ""Moe"", ""Larry"", ""Curly"".
Ensure that all fields are properly encapsulated and that the class cannot be modified after construction. Do not make the class thread-unsafe; however, avoid unnecessary synchronization where possible. The requirements are as follows:

All classes and methods must be defined within a single .java file;
The program must include a public static void main(String[] args) method as the entry point;
No external libraries or dependencies should be used;
The code should be clear, well-structured, and follow Java 8 syntax standards;
If multiple classes are needed, they should all be placed in the same file, with non-public classes defined using the class keyword. 
The implementation must use multithreading to perform tasks concurrently. You may use Thread, Runnable, or ExecutorService from the standard Java library to achieve this. Ensure that thread safety is considered where necessary. 
Write Java 8 code only. Output a single complete code block using ```java```. Do not include any explanations, comments, or extra text. Only output the code, nothing else. 
The total number of threads used in the program, including the main thread, must not exceed 3. Use a fixed thread pool or manually manage at most 2 additional threads beyond the main thread. Avoid unbounded thread creation or cached thread pools. 
Do not add any annotations."
